MÃ HÀNG,TÊN HÀNG,SL THỰC NHẬN,ĐƠN VỊ,STD GROSSWGT,NSX,HSD,GROUP OF CAGO
20100040,Đường mía cao cấp Biên Hòa 500g,5.5,KG,1.0,27/10/2024,27/10/2026,RS Sugar
20100075,Đường Phèn Biên Hòa Pro 500g,13.0,KG,1.0,2024-01-06 00:00:00,2026-06-01 00:00:00,Monorock
20100053,Đường Organic Biên Hòa hũ 800g,3.2,KG,1.0,2024-12-12 00:00:00,2027-12-12 00:00:00,Organic Sugar
20100039,Đường mía cao cấp Biên Hòa 1kg,41.0,KG,1.0,14/09/2024,2026-04-09 00:00:00,RS Sugar
20100096,Đường sạch Cô Ba 1kg (Xanh lá),3.0,KG,1.0,2024-02-11 00:00:00,2026-02-11 00:00:00,RS Sugar
20100182,Đường Biên Hòa Pure 500g (không thẻ cào),0.5,KG,1.0,29/04/2024,2028-08-04 00:00:00,RE Sugar
20100042,Đường mía thiên nhiên Biên Hòa 1kg,80.0,KG,1.0,27/11/2024,27/11/2026,Brown Sugar
20100041,Đường mía khoáng chất 1kg,15.0,KG,1.0,2024-10-08 00:00:00,2026-10-08 00:00:00,Functional Sugar
20100182,Đường Biên Hòa Pure 500g (không thẻ cào),1.0,KG,1.0,29/04/2024,2028-08-04 00:00:00,RE Sugar
20100182,Đường Biên Hòa Pure 500g (không thẻ cào),30.0,KG,1.0,2024-01-08 00:00:00,2028-11-07 00:00:00,RE Sugar
20100043,Đường mía thượng hạng Biên Hòa 1Kg,57.0,KG,1.0,2024-12-10 00:00:00,2026-12-10 00:00:00,RE Sugar
20100044,Đường mía thượng hạng Biên Hòa 500g,4.5,KG,1.0,2024-12-10 00:00:00,2026-12-10 00:00:00,RE Sugar
20100184,Ðường Biên Hòa Pure 1kg,13.0,KG,1.0,2024-03-08 00:00:00,13/07/2028,RE Sugar
20100039,Đường mía cao cấp Biên Hòa 1kg,3.0,KG,1.0,14/09/2024,2026-04-09 00:00:00,RS Sugar
20100044,Đường mía thượng hạng Biên Hòa 500g,0.5,KG,1.0,2024-05-08 00:00:00,15/07/2028,RE Sugar
20100092,Đường Sạch Biên Hòa Saving 1kg,9.0,KG,1.0,2024-12-10 00:00:00,2026-12-10 00:00:00,RS Sugar
20100041,Đường mía khoáng chất 1kg,2.0,KG,1.0,2024-10-08 00:00:00,2026-10-08 00:00:00,Functional Sugar
20100092,Đường Sạch Biên Hòa Saving 1kg,4.0,KG,1.0,2024-11-05 00:00:00,2026-11-05 00:00:00,RS Sugar
20100184,Ðường Biên Hòa Pure 1kg,66.0,KG,1.0,2024-05-11 00:00:00,2028-05-11 00:00:00,RE Sugar
20100075,Đường Phèn Biên Hòa Pro 500g,0.5,KG,1.0,19/05/2024,19/05/2026,Monorock
20100041,Đường mía khoáng chất 1kg,4.0,KG,1.0,2024-10-08 00:00:00,2026-10-08 00:00:00,Functional Sugar
20100039,Đường mía cao cấp Biên Hòa 1kg,2.0,KG,1.0,2024-05-10 00:00:00,2026-05-10 00:00:00,RS Sugar
20100092,Đường Sạch Biên Hòa Saving 1kg,9.0,KG,1.0,2024-12-10 00:00:00,2026-12-10 00:00:00,RS Sugar
20100075,Đường Phèn Biên Hòa Pro 500g,24.0,KG,1.0,2024-01-06 00:00:00,2026-06-01 00:00:00,Monorock
20100496,Đường mía lỏng Biên Hoà 400ml,40.0,CHA,0.533484,2024-08-08 00:00:00,2025-08-08 00:00:00,Invert Syrup
20100043,Đường mía thượng hạng Biên Hòa 1Kg,49.0,KG,1.0,16/04/2024,26/03/2028,RE Sugar
20100041,Đường mía khoáng chất 1kg,33.0,KG,1.0,2024-12-10 00:00:00,2026-12-10 00:00:00,Functional Sugar
20100092,Đường Sạch Biên Hòa Saving 1kg,5.0,KG,1.0,2024-10-05 00:00:00,2026-10-05 00:00:00,RS Sugar
20100092,Đường Sạch Biên Hòa Saving 1kg,3.0,KG,1.0,2024-10-05 00:00:00,2026-10-05 00:00:00,RS Sugar
20100092,Đường Sạch Biên Hòa Saving 1kg,1.0,KG,1.0,2024-10-05 00:00:00,2026-10-05 00:00:00,RS Sugar
20100092,Đường Sạch Biên Hòa Saving 1kg,3.0,KG,1.0,2024-10-05 00:00:00,2026-10-05 00:00:00,RS Sugar
20100423,Đường Biên Hòa Pure 300g,0.0,KG,1.0,2022-06-10 00:00:00,2026-06-10 00:00:00,RE Sugar
20100005,Đường Ăn Kiêng Isomalt 5g (hộp 250g),1.0,KG,1.0,2024-09-02 00:00:00,2027-09-02 00:00:00,Diet Sugar
20100042,Đường mía thiên nhiên Biên Hòa 1kg,106.0,KG,1.0,24/03/2025,24/03/2027,Brown Sugar
20100039,Đường mía cao cấp Biên Hòa 1kg,16.0,KG,1.0,2024-01-08 00:00:00,2026-01-08 00:00:00,RS Sugar
20100020,Đường đen nữ hoàng 1kg,45.0,KG,1.0,2024-04-12 00:00:00,2026-04-03 00:00:00,Functional Sugar
20100184,Ðường Biên Hòa Pure 1kg,39.0,KG,1.0,2025-09-03 00:00:00,2029-09-03 00:00:00,RE Sugar
20100014,Đường Biên Hòa Pure Cành Mai 500g,10.0,KG,1.0,30/12/2024,30/12/2028,RE Sugar
20100042,Đường mía thiên nhiên Biên Hòa 1kg,5.0,KG,1.0,2024-01-07 00:00:00,2026-01-07 00:00:00,Brown Sugar
20100495,Đường mía lỏng Biên Hoà 700ml,1.0,CHA,0.934028,30/09/2024,30/09/2025,Invert Syrup
20100585,Nước tăng lực C Nguyên bản 240ml,19.0,LON,0.2448,15/08/2024,15/08/2025,Energy Drink
20100092,Đường Sạch Biên Hòa Saving 1kg,2.0,KG,1.0,2024-11-05 00:00:00,2026-11-05 00:00:00,RS Sugar
20100044,Đường mía thượng hạng Biên Hòa 500g,0.5,KG,1.0,2024-03-12 00:00:00,2028-02-12 00:00:00,RE Sugar
20100075,Đường Phèn Biên Hòa Pro 500g,12.5,KG,1.0,2024-01-06 00:00:00,2026-06-01 00:00:00,Monorock
20100042,Đường mía thiên nhiên Biên Hòa 1kg,20.0,KG,1.0,2024-01-07 00:00:00,2026-01-07 00:00:00,Brown Sugar
20100008,Đường Biên Hòa Pro Baking 1kg,2.0,KG,1.0,2025-01-03 00:00:00,2027-01-03 00:00:00,Functional Sugar
20100043,Đường mía thượng hạng Biên Hòa 1Kg,20.0,KG,1.0,2024-01-10 00:00:00,30/09/2028,RE Sugar
20100620,Đường mía thiên nhiên Biên Hòa 500g,1.0,KG,1.0,19/02/2025,19/02/2027,Brown Sugar
20100092,Đường Sạch Biên Hòa Saving 1kg,11.0,KG,1.0,2025-01-03 00:00:00,2027-01-03 00:00:00,RS Sugar
20100044,Đường mía thượng hạng Biên Hòa 500g,2.5,KG,1.0,2024-03-12 00:00:00,2028-02-12 00:00:00,RE Sugar
20100044,Đường mía thượng hạng Biên Hòa 500g,0.5,KG,1.0,2024-03-12 00:00:00,2028-02-12 00:00:00,RE Sugar
20100607,Syrup Mía Biên Hòa 400ml,72.0,CHA,0.563764,13/03/2025,13/03/2026,Invert Syrup
20100042,Đường mía thiên nhiên Biên Hòa 1kg,3.0,KG,1.0,2024-01-07 00:00:00,2026-01-07 00:00:00,Brown Sugar
20100040,Đường mía cao cấp Biên Hòa 500g,38.0,KG,1.0,15/12/2023,2025-04-12 00:00:00,RS Sugar
20100242,Đường Phèn Cô Ba Trắng 1kg,12.0,KG,1.0,20/09/2024,20/09/2026,Monorock
20100039,Đường mía cao cấp Biên Hòa 1kg,3.0,KG,1.0,2024-01-08 00:00:00,2026-01-08 00:00:00,RS Sugar
20100039,Đường mía cao cấp Biên Hòa 1kg,58.0,KG,1.0,21/02/2025,21/02/2027,RS Sugar
20100039,Đường mía cao cấp Biên Hòa 1kg,4.0,KG,1.0,2025-06-02 00:00:00,2027-06-02 00:00:00,RS Sugar
20100417,Đường sạch Cô Ba 12kg (xanh lá),36.0,KG,1.0,2024-05-11 00:00:00,2026-06-11 00:00:00,RS Sugar
20100586,Nước tăng lực C Nhân sâm 240ml,32.0,LON,0.2448,2024-12-08 00:00:00,2025-12-08 00:00:00,Energy Drink
20100041,Đường mía khoáng chất 1kg,133.0,KG,1.0,2025-01-03 00:00:00,2027-01-03 00:00:00,Functional Sugar
20100563,Đường Organic Biên Hòa hũ 800g P12,2.4,KG,1.0,14/12/2024,14/12/2027,Organic Sugar
20100592,Đường thanh thiên nhiên Biên Hòa Hộp 500g,12.0,KG,1.0,2024-04-12 00:00:00,2025-04-12 00:00:00,Bar Sugar
20100182,Đường Biên Hòa Pure 500g (không thẻ cào),25.0,KG,1.0,2025-03-03 00:00:00,2029-03-03 00:00:00,RE Sugar
20100043,Đường mía thượng hạng Biên Hòa 1Kg,57.0,KG,1.0,27/02/2025,27/02/2029,RE Sugar
20100044,Đường mía thượng hạng Biên Hòa 500g,3.5,KG,1.0,24/02/2025,24/02/2029,RE Sugar
20100054,Đường Organic Biên Hòa 400g,1.2,KG,1.0,26/12/2023,26/12/2026,Organic Sugar
20100039,Đường mía cao cấp Biên Hòa 1kg,20.0,KG,1.0,2024-01-08 00:00:00,2026-01-08 00:00:00,RS Sugar
20100092,Đường Sạch Biên Hòa Saving 1kg,20.0,KG,1.0,2025-01-03 00:00:00,2027-01-03 00:00:00,RS Sugar
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,720.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
25000015,Nước dừa đóng hộp loại Xiêm Xanh 1L,840.0,HOP,1.02,26/05/2025,25/08/2026,Juice
20100580,Nước màu dừa Xim Mom Cooks 135g,319.0,CHA,0.135,2024-02-06 00:00:00,2025-12-02 00:00:00,Caramelized
20100495,Đường mía lỏng Biên Hoà 700ml,12.0,CHA,0.934028,2024-03-09 00:00:00,2025-03-09 00:00:00,Invert Syrup
20100081,Đường Phèn Tsu Hũ 450g,32.4,KG,1.0,28/03/2025,28/03/2027,Monorock
20100054,Đường Organic Biên Hòa 400g,111.6,KG,1.0,14/12/2024,14/12/2027,Organic Sugar
20100108,Đường tinh luyện cao cấp Biên Hòa Pure,26000.0,KG,1.0,21/03/2025,21/03/2027,RE Sugar
20100042,Đường mía thiên nhiên Biên Hòa 1kg,44000.0,KG,1.0,30/05/2025,30/05/2027,Brown Sugar
20100042,Đường mía thiên nhiên Biên Hòa 1kg,44000.0,KG,1.0,31/05/2025,31/05/2027,Brown Sugar
20100042,Đường mía thiên nhiên Biên Hòa 1kg,44000.0,KG,1.0,2025-01-06 00:00:00,2027-01-06 00:00:00,Brown Sugar
20100076,Đường Phèn Biên Hòa Pro 50kg,8000.0,KG,1.0,28/05/2025,28/05/2027,Monorock
20100088,Đường phèn vàng thiên nhiên,1200.0,KG,1.0,2025-01-05 00:00:00,2027-01-05 00:00:00,Natural Rock
20100167,Đường trắng thượng hạng Mimosa,138300.0,KG,1.0,23/04/2025,23/04/2027,RS Sugar
20100167,Đường trắng thượng hạng Mimosa,160200.0,KG,1.0,22/04/2025,22/04/2027,RS Sugar
20100311,Nước màu nguyên chất 28L,62.0,CAN,39.52116,31/05/2025,2025-01-12 00:00:00,Caramelized
20100184,Ðường Biên Hòa Pure 1kg,113880.0,KG,1.0,30/05/2025,30/05/2029,RE Sugar
20100184,Ðường Biên Hòa Pure 1kg,52740.0,KG,1.0,31/05/2025,31/05/2029,RE Sugar
20100096,Đường sạch Cô Ba 1kg (Xanh lá),51540.0,KG,1.0,31/05/2025,31/05/2027,RS Sugar
20100096,Đường sạch Cô Ba 1kg (Xanh lá),149800.0,KG,1.0,2025-01-06 00:00:00,2027-01-06 00:00:00,RS Sugar
20100417,Đường sạch Cô Ba 12kg (xanh lá),36180.0,KG,1.0,2025-03-05 00:00:00,2027-03-05 00:00:00,RS Sugar
20100101,Đường Sticksu 6g,315.0,KG,1.0,2025-12-05 00:00:00,2029-12-05 00:00:00,Functional Sugar
20100101,Đường Sticksu 6g,360.0,KG,1.0,2025-12-05 00:00:00,2029-12-05 00:00:00,Functional Sugar
20100101,Đường Sticksu 6g,360.0,KG,1.0,2025-12-05 00:00:00,2029-12-05 00:00:00,Functional Sugar
20100101,Đường Sticksu 6g,360.0,KG,1.0,2025-12-05 00:00:00,2029-12-05 00:00:00,Functional Sugar
20100101,Đường Sticksu 6g,360.0,KG,1.0,2025-12-05 00:00:00,2029-12-05 00:00:00,Functional Sugar
20100005,Đường Ăn Kiêng Isomalt 5g (hộp 250g),165.0,KG,1.0,2024-05-10 00:00:00,2027-05-10 00:00:00,Diet Sugar
20100054,Đường Organic Biên Hòa 400g,217.2,KG,1.0,18/12/2024,18/12/2027,Organic Sugar
20100054,Đường Organic Biên Hòa 400g,537.0,KG,1.0,18/12/2024,18/12/2027,Organic Sugar
20100054,Đường Organic Biên Hòa 400g,537.0,KG,1.0,18/12/2024,18/12/2027,Organic Sugar
20100054,Đường Organic Biên Hòa 400g,537.0,KG,1.0,18/12/2024,18/12/2027,Organic Sugar
20100054,Đường Organic Biên Hòa 400g,537.0,KG,1.0,18/12/2024,18/12/2027,Organic Sugar
20100054,Đường Organic Biên Hòa 400g,537.0,KG,1.0,18/12/2024,18/12/2027,Organic Sugar
20100054,Đường Organic Biên Hòa 400g,537.0,KG,1.0,18/12/2024,18/12/2027,Organic Sugar
20100054,Đường Organic Biên Hòa 400g,537.0,KG,1.0,18/12/2024,18/12/2027,Organic Sugar
20100054,Đường Organic Biên Hòa 400g,537.0,KG,1.0,18/12/2024,18/12/2027,Organic Sugar
20100054,Đường Organic Biên Hòa 400g,537.0,KG,1.0,18/12/2024,18/12/2027,Organic Sugar
20100054,Đường Organic Biên Hòa 400g,537.0,KG,1.0,18/12/2024,18/12/2027,Organic Sugar
20100075,Đường Phèn Biên Hòa Pro 500g,456.0,KG,1.0,19/05/2025,19/05/2027,Monorock
20100075,Đường Phèn Biên Hòa Pro 500g,672.0,KG,1.0,19/05/2025,19/05/2027,Monorock
20100075,Đường Phèn Biên Hòa Pro 500g,672.0,KG,1.0,19/05/2025,19/05/2027,Monorock
20100075,Đường Phèn Biên Hòa Pro 500g,672.0,KG,1.0,19/05/2025,19/05/2027,Monorock
20100075,Đường Phèn Biên Hòa Pro 500g,672.0,KG,1.0,19/05/2025,19/05/2027,Monorock
20100075,Đường Phèn Biên Hòa Pro 500g,672.0,KG,1.0,19/05/2025,19/05/2027,Monorock
20100090,Đường Phèn Vàng Thiên Nhiên 500g,108.0,KG,1.0,15/05/2025,15/05/2027,Natural Rock
20100090,Đường Phèn Vàng Thiên Nhiên 500g,576.0,KG,1.0,15/05/2025,15/05/2027,Natural Rock
20100090,Đường Phèn Vàng Thiên Nhiên 500g,576.0,KG,1.0,15/05/2025,15/05/2027,Natural Rock
20100090,Đường Phèn Vàng Thiên Nhiên 500g,576.0,KG,1.0,15/05/2025,15/05/2027,Natural Rock
20100090,Đường Phèn Vàng Thiên Nhiên 500g,576.0,KG,1.0,15/05/2025,15/05/2027,Natural Rock
